               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,      metrics/1m_mAP,      metrics/1p_mAP,      metrics/1s_mAP,      metrics/1z_mAP,      metrics/2m_mAP,      metrics/2p_mAP,      metrics/2s_mAP,      metrics/2z_mAP,      metrics/3m_mAP,      metrics/3p_mAP,      metrics/3s_mAP,      metrics/3z_mAP,      metrics/4m_mAP,      metrics/4p_mAP,      metrics/4s_mAP,      metrics/4z_mAP,      metrics/5m_mAP,      metrics/5p_mAP,      metrics/5s_mAP,      metrics/5z_mAP,      metrics/6m_mAP,      metrics/6p_mAP,      metrics/6s_mAP,      metrics/6z_mAP,      metrics/7m_mAP,      metrics/7p_mAP,      metrics/7s_mAP,      metrics/7z_mAP,      metrics/8m_mAP,      metrics/8p_mAP,      metrics/8s_mAP,      metrics/9m_mAP,      metrics/9p_mAP,      metrics/9s_mAP,   metrics/1m_mAP_50,   metrics/1p_mAP_50,   metrics/1s_mAP_50,   metrics/1z_mAP_50,   metrics/2m_mAP_50,   metrics/2p_mAP_50,   metrics/2s_mAP_50,   metrics/2z_mAP_50,   metrics/3m_mAP_50,   metrics/3p_mAP_50,   metrics/3s_mAP_50,   metrics/3z_mAP_50,   metrics/4m_mAP_50,   metrics/4p_mAP_50,   metrics/4s_mAP_50,   metrics/4z_mAP_50,   metrics/5m_mAP_50,   metrics/5p_mAP_50,   metrics/5s_mAP_50,   metrics/5z_mAP_50,   metrics/6m_mAP_50,   metrics/6p_mAP_50,   metrics/6s_mAP_50,   metrics/6z_mAP_50,   metrics/7m_mAP_50,   metrics/7p_mAP_50,   metrics/7s_mAP_50,   metrics/7z_mAP_50,   metrics/8m_mAP_50,   metrics/8p_mAP_50,   metrics/8s_mAP_50,   metrics/9m_mAP_50,   metrics/9p_mAP_50,   metrics/9s_mAP_50
                  47,            0.023434,             0.02147,           0.0098604,             0.98889,             0.98523,             0.99155,              0.8242,            0.018113,            0.030985,            0.004811,            0.005446,            0.005446,            0.005446,              0.8123,             0.82894,              0.8326,             0.81182,             0.80355,             0.80117,             0.87618,             0.84436,             0.81211,             0.81595,             0.84332,             0.81282,             0.80498,             0.82857,             0.84355,             0.84487,             0.83843,             0.81314,             0.82127,             0.80513,               0.813,             0.83425,             0.82097,             0.85955,             0.83513,             0.77408,             0.79428,             0.83898,             0.83412,             0.81885,             0.82563,             0.85343,             0.80888,             0.81658,               0.995,               0.995,               0.995,             0.97591,             0.98252,               0.995,               0.995,             0.99478,             0.97423,               0.995,             0.99479,               0.995,               0.995,               0.995,               0.995,             0.99214,              0.9949,             0.99452,               0.995,             0.96587,             0.97832,              0.9918,               0.995,              0.9943,             0.99359,             0.99227,             0.99467,               0.995,             0.99067,               0.995,               0.995,             0.99281,             0.99466,               0.995
                  48,            0.023302,            0.021285,           0.0098761,             0.99048,             0.98652,             0.99228,             0.82557,            0.018108,            0.031034,           0.0045446,            0.005347,            0.005347,            0.005347,             0.83768,             0.81629,               0.834,             0.81791,             0.81785,             0.79683,             0.87067,             0.84825,             0.81861,             0.82467,             0.84329,             0.80436,              0.8079,             0.84023,             0.82592,             0.83249,             0.84437,             0.81036,             0.81656,             0.83286,             0.80617,             0.82714,             0.82051,             0.86748,             0.82389,              0.7923,             0.78255,             0.84206,             0.83742,             0.82342,             0.82526,             0.85876,             0.80079,             0.82069,               0.995,               0.995,               0.995,              0.9863,             0.99308,               0.995,               0.995,             0.99402,             0.97826,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,             0.99496,             0.99492,             0.99446,             0.99494,             0.97674,               0.965,               0.995,               0.995,             0.99472,             0.99086,             0.99161,             0.99488,               0.995,               0.995,               0.995,             0.99422,             0.99431,             0.98907,               0.995
                  49,            0.023189,            0.021085,           0.0096066,             0.98702,             0.98438,             0.99103,             0.82147,            0.018291,            0.031051,           0.0048098,            0.005248,            0.005248,            0.005248,             0.82144,             0.82658,             0.83636,             0.80223,             0.78461,             0.79888,               0.878,             0.83593,             0.80856,             0.83216,             0.82918,              0.8072,             0.80776,             0.82009,             0.83967,             0.83486,             0.82522,             0.81406,             0.82265,             0.81813,             0.81459,             0.83036,             0.81774,             0.85091,             0.81872,             0.77517,             0.77856,             0.84206,             0.83642,             0.83812,             0.81758,             0.85236,             0.80274,             0.81099,             0.99492,               0.995,             0.99487,             0.97159,             0.96053,               0.995,               0.995,             0.99441,             0.97837,               0.995,             0.99402,               0.995,               0.995,               0.995,               0.995,             0.99439,               0.995,               0.995,               0.995,             0.97666,             0.98389,               0.995,               0.995,             0.99214,             0.98492,             0.99019,             0.99147,               0.995,             0.99201,               0.995,             0.99463,             0.99329,             0.99327,             0.99432
                  50,            0.023204,            0.021154,           0.0096999,             0.99002,             0.98759,             0.99113,             0.82796,            0.017931,            0.030609,           0.0046443,            0.005149,            0.005149,            0.005149,             0.83475,             0.82982,             0.83013,             0.82107,             0.83367,             0.80297,             0.88265,             0.85568,             0.80711,             0.80155,             0.84438,             0.82049,             0.82749,             0.83185,             0.84288,             0.83289,             0.83992,             0.81329,             0.82696,             0.81196,             0.82809,             0.83632,             0.82599,             0.86573,             0.82904,              0.7607,             0.78598,             0.84245,             0.84128,             0.82186,             0.83912,             0.84744,             0.81909,             0.81597,               0.995,               0.995,               0.995,             0.98425,             0.99231,               0.995,               0.995,             0.99484,              0.9607,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,             0.99456,               0.995,               0.995,               0.995,             0.96525,             0.96976,             0.99498,               0.995,             0.99487,             0.98399,             0.99077,             0.99462,               0.995,             0.99102,               0.995,               0.995,             0.98665,             0.99487,               0.995
                  51,            0.022835,            0.020981,           0.0096382,             0.99179,             0.99009,             0.99214,             0.82262,            0.018242,             0.03123,           0.0044083,             0.00505,             0.00505,             0.00505,             0.82929,             0.83182,             0.84565,             0.81076,             0.82109,             0.79216,             0.86721,             0.84281,             0.80843,             0.82057,              0.8223,             0.80346,             0.81187,             0.83358,             0.84746,             0.82506,             0.83507,             0.79686,             0.82156,             0.80763,             0.82337,              0.8308,             0.81893,             0.86266,             0.82351,             0.77203,             0.76452,             0.84039,             0.83111,             0.83578,             0.82172,             0.84625,             0.80636,             0.81715,               0.995,               0.995,               0.995,             0.98106,             0.99317,               0.995,               0.995,               0.995,             0.97067,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,             0.99496,               0.995,               0.995,               0.995,             0.97925,             0.97855,               0.995,               0.995,               0.995,              0.9898,             0.99044,             0.99171,               0.995,             0.99128,               0.995,               0.995,             0.98707,             0.99468,               0.995
                  52,            0.022682,            0.020949,            0.009533,             0.99153,             0.98936,             0.99313,             0.83051,            0.017881,            0.030673,           0.0041616,            0.004951,            0.004951,            0.004951,              0.8423,              0.8346,             0.85792,             0.81175,             0.81929,             0.81253,             0.87839,             0.85385,             0.82469,             0.82185,             0.82773,              0.8136,             0.81498,             0.84027,              0.8371,             0.84095,             0.84453,             0.82234,             0.81729,             0.81817,             0.82912,             0.83904,             0.82377,              0.8686,             0.82461,             0.78347,             0.78571,             0.83849,             0.84803,             0.83242,             0.84488,              0.8471,             0.81147,             0.82661,               0.995,               0.995,               0.995,             0.98376,             0.99469,               0.995,               0.995,             0.99478,              0.9819,               0.995,             0.99484,               0.995,               0.995,               0.995,             0.99483,             0.99143,               0.995,             0.99495,               0.995,              0.9798,             0.98305,               0.995,               0.995,             0.99496,             0.99423,             0.99267,             0.99484,               0.995,             0.99491,               0.995,               0.995,             0.99462,             0.99104,               0.995
                  53,            0.022646,             0.02052,           0.0095046,             0.98887,             0.98808,              0.9916,             0.82506,            0.018015,            0.031047,           0.0044363,            0.004852,            0.004852,            0.004852,             0.81892,             0.84366,             0.84317,             0.80848,             0.82834,             0.79533,             0.88515,             0.84322,             0.82451,             0.81999,             0.83246,             0.80942,             0.80109,             0.82573,             0.83904,             0.81696,             0.83764,              0.8106,             0.82456,             0.81567,             0.81953,             0.82454,             0.82829,             0.84858,             0.83157,             0.76268,             0.78656,              0.8415,             0.83663,               0.839,             0.83319,             0.85129,               0.803,             0.82184,               0.995,               0.995,               0.995,             0.97681,              0.9865,               0.995,               0.995,             0.99496,             0.97743,               0.995,             0.99493,             0.99498,             0.99477,               0.995,               0.995,             0.98931,             0.99494,               0.995,               0.995,               0.971,             0.98082,               0.995,               0.995,             0.97991,             0.99402,             0.99483,               0.995,               0.995,               0.995,               0.995,               0.995,               0.987,             0.99215,               0.995
                  54,             0.02208,            0.020694,           0.0094887,             0.99127,             0.98819,             0.99067,             0.82921,            0.017877,            0.030926,           0.0043368,            0.004753,            0.004753,            0.004753,             0.82325,             0.82428,             0.83296,             0.81738,             0.84066,             0.79913,              0.8974,             0.85423,             0.79788,             0.82257,             0.84051,             0.81918,             0.81352,              0.8378,             0.84516,             0.83011,             0.84196,              0.8335,             0.82137,             0.81032,             0.80308,             0.83576,              0.8301,             0.87278,             0.83202,             0.77992,             0.79235,             0.84275,             0.84105,             0.83538,             0.82145,             0.85487,             0.82383,             0.82459,               0.995,               0.995,               0.995,             0.98204,             0.98717,               0.995,               0.995,             0.99491,              0.9514,               0.995,             0.99496,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,             0.96915,               0.948,               0.995,               0.995,               0.995,             0.99198,             0.99476,             0.99469,               0.995,             0.99351,               0.995,               0.995,             0.99009,               0.995,               0.995
                  55,            0.022432,            0.020575,           0.0092959,             0.99239,             0.98821,             0.99159,              0.8231,            0.018036,            0.031113,           0.0041558,            0.004654,            0.004654,            0.004654,             0.82635,             0.82468,             0.83922,             0.81273,              0.8238,             0.80339,             0.88687,             0.84732,             0.81292,             0.80331,             0.83913,             0.81312,             0.80181,             0.83586,              0.8385,              0.8225,             0.84315,             0.81346,             0.81091,             0.79402,             0.82251,             0.82779,             0.82035,             0.87612,             0.82415,             0.75487,             0.76562,             0.83158,             0.83713,             0.83768,             0.83084,             0.84837,             0.80123,             0.81416,               0.995,               0.995,               0.995,              0.9822,               0.995,               0.995,               0.995,               0.995,             0.98172,               0.995,             0.99498,               0.995,               0.995,               0.995,               0.995,              0.9916,               0.995,             0.99495,               0.995,             0.95655,             0.97653,               0.995,               0.995,             0.99498,             0.98142,             0.98523,             0.99383,               0.995,               0.995,               0.995,               0.995,             0.99062,             0.99476,             0.99454
                  56,            0.022352,            0.020612,            0.009337,             0.99395,             0.98811,             0.99195,              0.8278,            0.017822,            0.030805,           0.0040204,            0.004555,            0.004555,            0.004555,             0.83223,             0.83563,             0.81453,             0.81855,             0.81374,             0.80502,             0.88869,             0.84425,             0.81304,             0.82318,             0.83652,             0.82337,             0.80771,             0.84202,             0.82778,             0.84656,             0.84193,             0.81916,             0.81353,             0.80566,             0.81654,             0.83193,             0.83349,             0.87484,             0.84134,             0.77313,             0.77256,             0.84775,             0.83783,             0.83131,             0.83417,             0.85842,             0.81868,             0.82016,               0.995,               0.995,               0.995,             0.98649,             0.99203,               0.995,               0.995,             0.99485,               0.974,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,             0.99482,               0.995,               0.995,               0.995,             0.96424,             0.97044,             0.99481,               0.995,               0.995,             0.99351,             0.98492,             0.99372,               0.995,               0.995,               0.995,               0.995,              0.9936,             0.99392,               0.995
                  57,            0.022787,            0.020719,           0.0093457,             0.99327,             0.98939,             0.99125,             0.82224,            0.018067,            0.031236,           0.0041493,            0.004456,            0.004456,            0.004456,             0.81734,             0.83882,             0.83411,             0.81859,             0.81395,             0.80384,             0.87714,             0.83227,             0.79983,             0.82565,             0.84476,             0.81787,             0.79587,             0.82951,             0.81647,             0.82826,             0.83538,             0.81434,             0.81359,             0.80281,             0.80363,             0.82306,             0.82041,             0.86761,             0.83629,             0.75032,             0.77491,             0.83259,             0.84248,             0.83212,             0.82516,             0.85431,             0.81139,             0.82143,               0.995,               0.995,               0.995,             0.98196,             0.99498,               0.995,               0.995,             0.99491,             0.97145,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,             0.99361,               0.989,               0.995,               0.995,             0.95551,              0.9649,             0.99464,               0.995,               0.995,             0.98984,             0.99304,               0.995,               0.995,               0.995,               0.995,               0.995,             0.98873,             0.99483,               0.995
                  58,            0.021863,            0.019782,           0.0090295,             0.99019,             0.98767,             0.99034,             0.82464,            0.017929,            0.031158,           0.0042792,            0.004357,            0.004357,            0.004357,             0.83397,             0.82955,             0.83675,             0.80401,             0.81179,             0.81535,             0.89528,             0.84838,             0.80166,             0.82861,             0.84452,             0.81103,             0.80205,             0.83195,             0.83621,             0.83217,             0.84046,             0.81541,             0.81353,              0.8051,             0.81989,             0.82281,             0.81719,             0.87273,             0.83369,             0.74631,             0.77755,             0.84652,             0.83739,             0.83871,             0.82189,             0.84083,             0.80969,             0.81489,               0.995,               0.995,               0.995,             0.97019,             0.98765,               0.995,               0.995,             0.99489,             0.97773,               0.995,             0.99416,               0.995,               0.995,               0.995,               0.995,             0.99245,             0.99453,               0.995,               0.995,             0.95533,             0.97947,               0.995,               0.995,               0.995,             0.98435,             0.98128,              0.9923,               0.995,             0.99059,               0.995,               0.995,             0.97745,             0.99425,               0.995
                  59,            0.021962,            0.020136,           0.0090502,              0.9922,             0.99042,             0.99236,             0.82523,            0.017835,            0.030866,            0.003971,            0.004258,            0.004258,            0.004258,             0.82406,             0.82881,             0.83079,             0.81257,              0.8249,             0.81195,             0.87712,             0.85142,             0.81195,             0.82069,              0.8395,             0.82051,             0.80278,             0.82853,             0.84101,             0.83151,             0.84516,             0.81065,             0.80517,             0.82001,             0.82158,             0.82322,              0.8237,             0.86913,             0.83718,             0.75577,              0.7696,              0.8417,             0.83873,             0.83662,             0.82043,              0.8483,              0.8066,             0.82616,               0.995,               0.995,               0.995,             0.97887,              0.9943,               0.995,               0.995,              0.9948,             0.97596,               0.995,             0.99194,               0.995,               0.995,               0.995,               0.995,             0.99379,             0.99468,               0.995,               0.995,             0.97245,             0.97246,               0.995,               0.995,             0.99494,             0.99466,             0.99495,               0.995,               0.995,             0.99158,               0.995,               0.995,             0.99497,             0.99489,               0.995
                  60,            0.022201,            0.020088,           0.0094592,             0.99426,              0.9906,              0.9929,             0.82736,            0.017732,             0.03095,           0.0037842,            0.004159,            0.004159,            0.004159,             0.82128,             0.83591,             0.82904,             0.80509,              0.8266,              0.8165,             0.87923,              0.8532,             0.82131,             0.82157,             0.84925,             0.81299,             0.81416,             0.82831,             0.85088,             0.83308,             0.84478,             0.81735,             0.80605,             0.80362,              0.8395,             0.83756,             0.81547,             0.87751,             0.83767,             0.76305,              0.7882,              0.8364,             0.84041,             0.82043,             0.83047,             0.85039,             0.80582,             0.81725,             0.99494,               0.995,               0.995,             0.97306,             0.99226,               0.995,               0.995,             0.99432,             0.98094,               0.995,             0.99465,             0.99452,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,              0.9754,             0.98833,               0.995,               0.995,               0.995,             0.99488,              0.9942,               0.995,               0.995,             0.99146,               0.995,             0.99493,               0.995,              0.9948,               0.995
                  61,            0.021732,            0.019495,           0.0091426,               0.993,             0.98943,             0.99212,             0.82994,             0.01776,             0.03112,           0.0039075,             0.00406,             0.00406,             0.00406,             0.84131,             0.82883,              0.8306,             0.80623,              0.8241,             0.80113,             0.87528,             0.84996,             0.82016,             0.82459,             0.84533,             0.82083,             0.81194,             0.83098,             0.85583,             0.83828,             0.84076,             0.81685,             0.82421,             0.81476,              0.8324,              0.8418,             0.82893,             0.87403,             0.83335,             0.77244,             0.78277,             0.85387,             0.83925,             0.82864,             0.83799,             0.85309,             0.81119,             0.82634,               0.995,               0.995,               0.995,             0.97287,             0.99485,               0.995,               0.995,             0.99429,             0.97633,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,             0.96503,             0.98436,             0.99494,             0.99494,              0.9888,             0.99143,             0.99052,             0.99496,               0.995,             0.99491,               0.995,             0.99476,             0.99419,               0.995,               0.995
                  62,            0.021908,            0.020146,           0.0088448,              0.9914,             0.98866,              0.9916,             0.82497,            0.017843,            0.030774,           0.0042563,            0.003961,            0.003961,            0.003961,             0.82283,             0.82358,             0.83754,             0.80655,             0.81304,             0.80409,             0.86916,             0.84433,             0.80672,             0.81999,             0.83259,             0.81641,             0.81233,             0.82957,             0.84632,             0.82355,             0.84214,             0.82315,             0.81781,             0.82115,             0.81364,             0.83593,             0.82466,             0.87506,             0.82193,             0.77312,             0.78627,             0.84033,             0.84682,              0.8166,             0.81815,             0.84514,              0.8137,             0.82469,               0.995,               0.995,               0.995,             0.96574,               0.995,               0.995,               0.995,             0.99423,              0.9653,               0.995,             0.99498,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,             0.97469,             0.97948,               0.995,               0.995,               0.995,             0.98077,             0.99254,             0.99492,               0.995,               0.995,               0.995,               0.995,             0.99179,               0.995,               0.995
                  63,            0.021595,            0.019899,           0.0087619,              0.9917,             0.98789,             0.99189,              0.8306,            0.017712,            0.030779,           0.0040135,            0.003862,            0.003862,            0.003862,             0.83514,             0.83578,             0.83993,             0.82221,             0.83302,             0.80046,              0.8783,             0.84492,              0.8106,             0.82086,             0.83954,             0.82116,             0.81576,             0.84465,             0.84448,             0.83502,             0.84017,             0.82584,             0.83068,              0.8116,             0.82722,             0.84333,             0.82489,             0.87226,             0.82989,             0.78953,             0.77831,             0.84971,             0.83977,             0.83634,             0.82648,             0.85267,             0.81572,             0.82404,               0.995,               0.995,               0.995,             0.98405,             0.99322,               0.995,               0.995,               0.995,             0.96518,               0.995,               0.995,               0.995,               0.995,               0.995,             0.99476,             0.99486,               0.995,               0.995,               0.995,             0.96431,             0.97262,               0.995,               0.995,               0.995,             0.99173,             0.99457,             0.99366,               0.995,             0.99464,               0.995,               0.995,             0.99149,             0.99408,               0.995
                  64,            0.021393,            0.019591,           0.0087634,             0.99215,             0.99043,             0.99274,             0.82731,            0.017922,             0.03115,           0.0038441,            0.003763,            0.003763,            0.003763,             0.83449,              0.8264,             0.83025,             0.82131,             0.82454,             0.79287,             0.88744,             0.84824,             0.80704,             0.81318,             0.84624,             0.81876,             0.80713,             0.83547,             0.84339,             0.83786,             0.84085,              0.8206,             0.81681,             0.81015,              0.8304,             0.84202,             0.82352,             0.86099,             0.82278,              0.7811,             0.77147,             0.83571,              0.8523,             0.82277,              0.8322,             0.84951,             0.81317,             0.82746,               0.995,               0.995,               0.995,             0.98253,             0.99488,               0.995,               0.995,               0.995,             0.97389,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,             0.99497,               0.995,             0.97509,             0.98227,               0.995,               0.995,               0.995,             0.98701,             0.99491,             0.99492,               0.995,               0.995,               0.995,               0.995,             0.99288,             0.99486,               0.995
                  65,            0.021481,            0.019603,           0.0087841,             0.99007,             0.98658,             0.99215,             0.82757,             0.01779,            0.030679,           0.0041802,            0.003664,            0.003664,            0.003664,             0.83479,             0.82915,              0.8293,             0.81142,              0.8327,             0.78614,               0.877,             0.84767,             0.80198,             0.81763,             0.84837,             0.82487,             0.80338,             0.83523,             0.83962,             0.83414,             0.83843,             0.82158,             0.81655,             0.83209,             0.82909,             0.82678,             0.82944,             0.86734,              0.8206,              0.7903,             0.77459,               0.846,             0.84725,             0.83464,             0.83856,             0.84259,             0.80353,             0.82449,               0.995,               0.995,               0.995,             0.97843,             0.99488,               0.995,               0.995,             0.99486,             0.96799,               0.995,             0.99483,               0.995,               0.995,               0.995,              0.9947,             0.99463,               0.995,             0.99488,               0.995,             0.98557,             0.97692,               0.995,               0.995,             0.99376,               0.984,              0.9948,             0.99353,               0.995,               0.995,               0.995,               0.995,             0.98517,             0.99407,               0.995
                  66,            0.021139,             0.01935,           0.0086811,             0.99292,             0.99198,             0.99273,             0.82393,            0.017762,            0.030709,             0.00368,            0.003565,            0.003565,            0.003565,             0.82972,             0.83307,             0.82855,             0.82027,             0.82636,              0.8038,             0.86257,              0.8492,             0.80035,             0.81152,             0.84073,             0.82239,             0.79264,             0.82302,              0.8376,             0.82501,             0.82809,              0.8137,             0.80886,             0.82077,              0.8242,             0.84055,             0.82333,             0.86398,              0.8259,             0.76572,             0.77799,             0.83969,              0.8458,             0.82364,             0.81608,             0.84753,             0.81535,             0.82564,               0.995,               0.995,               0.995,             0.98252,               0.995,               0.995,               0.995,               0.995,              0.9662,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,             0.99491,               0.995,             0.99498,               0.995,             0.98154,             0.97673,               0.995,               0.995,               0.995,             0.99198,             0.99452,               0.995,               0.995,               0.995,               0.995,               0.995,             0.99469,             0.99471,               0.995
                  67,            0.021317,            0.019507,           0.0085845,             0.99221,             0.98969,             0.99285,             0.82698,              0.0178,            0.031018,           0.0037329,            0.003466,            0.003466,            0.003466,             0.82263,             0.83268,             0.83306,             0.82803,             0.82211,             0.80647,             0.88399,             0.84418,             0.81943,             0.81162,              0.8468,             0.82186,             0.79831,             0.83293,             0.83637,             0.83276,             0.83264,             0.81922,             0.80644,             0.82073,             0.81893,             0.83483,             0.83293,             0.86244,             0.84052,             0.76829,             0.77869,             0.83496,             0.85163,             0.83492,             0.82468,             0.85196,             0.80632,             0.82381,               0.995,               0.995,               0.995,             0.98312,             0.99478,               0.995,               0.995,               0.995,             0.97618,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,             0.99416,               0.995,             0.97846,              0.9797,               0.995,               0.995,             0.99494,              0.9939,             0.99357,             0.99194,               0.995,               0.995,               0.995,               0.995,             0.99446,             0.99182,               0.995
                  68,            0.020963,            0.019344,           0.0086219,             0.99269,             0.98925,             0.99224,             0.82489,            0.017948,            0.030911,           0.0036538,            0.003367,            0.003367,            0.003367,             0.82578,              0.8315,             0.82486,             0.81764,             0.82682,             0.79625,             0.88318,             0.84145,              0.8148,             0.81621,             0.84613,             0.82678,              0.8039,             0.83418,             0.83011,             0.82302,             0.82992,             0.81596,             0.79581,             0.80775,             0.82296,             0.83975,             0.83805,             0.86514,             0.82665,             0.77839,             0.75053,             0.84607,             0.84374,             0.82934,             0.82949,             0.84813,             0.80568,             0.83028,              0.9949,               0.995,               0.995,             0.97846,             0.99408,               0.995,               0.995,               0.995,             0.98562,               0.995,             0.99416,               0.995,               0.995,               0.995,               0.995,             0.99095,               0.995,               0.995,               0.995,             0.96441,             0.98039,               0.995,               0.995,             0.99492,             0.99004,             0.99444,             0.99486,               0.995,               0.995,               0.995,               0.995,             0.98394,             0.99494,               0.995
                  69,            0.020853,            0.018755,           0.0084032,             0.98991,             0.98878,             0.99169,             0.82607,            0.017751,            0.030926,           0.0038931,            0.003268,            0.003268,            0.003268,             0.83902,             0.82495,              0.8354,             0.82654,             0.82641,             0.79797,             0.88305,             0.84504,             0.80767,             0.81454,             0.83833,             0.83063,             0.80413,             0.84063,             0.83138,             0.82449,             0.83429,             0.81721,              0.8042,             0.82222,              0.8267,             0.83844,             0.83509,             0.86671,             0.82574,             0.75536,             0.77031,             0.84053,              0.8461,              0.8338,              0.8285,             0.84662,             0.80479,             0.81965,               0.995,               0.995,               0.995,             0.97947,              0.9949,               0.995,               0.995,             0.99498,             0.97196,               0.995,             0.99246,               0.995,               0.995,               0.995,               0.995,             0.99249,               0.995,               0.995,             0.99498,             0.96979,             0.97391,               0.995,               0.995,               0.995,             0.98315,             0.99237,               0.995,               0.995,               0.995,               0.995,               0.995,             0.98693,             0.99494,               0.995
                  70,            0.020723,            0.019248,           0.0085951,             0.99025,             0.98579,             0.99055,             0.82539,            0.017745,             0.03081,           0.0041526,            0.003169,            0.003169,            0.003169,             0.83267,             0.82844,             0.83031,             0.82033,             0.81943,             0.80354,             0.87576,             0.85254,             0.78322,             0.81696,             0.84425,             0.82718,             0.80507,              0.8345,             0.83982,              0.8284,             0.83839,             0.81997,             0.80526,             0.80851,             0.80632,             0.83012,             0.83024,             0.87199,             0.83248,             0.76722,             0.76732,              0.8399,             0.85306,             0.83073,             0.83213,             0.84918,             0.81262,             0.82548,               0.995,               0.995,               0.995,             0.98387,             0.99473,               0.995,               0.995,             0.99489,             0.95255,               0.995,             0.99229,               0.995,               0.995,               0.995,               0.995,             0.99498,               0.995,               0.995,               0.995,             0.95932,             0.94947,               0.995,               0.995,             0.99491,             0.98744,             0.99407,             0.99242,               0.995,               0.995,               0.995,               0.995,             0.99311,             0.99475,               0.995
                  71,            0.020563,             0.01891,           0.0084006,             0.98978,             0.98807,             0.99106,             0.82282,            0.017926,            0.031262,           0.0038873,             0.00307,             0.00307,             0.00307,             0.82808,              0.8273,             0.83245,              0.8114,             0.82163,             0.80301,             0.89271,             0.84597,              0.8036,             0.80779,             0.83493,             0.82457,             0.80979,             0.82485,             0.83382,             0.82658,             0.83167,             0.80979,             0.80758,             0.80055,             0.81149,             0.83026,             0.83522,             0.87676,             0.82659,             0.76126,             0.76008,              0.8342,             0.82919,             0.83516,             0.82485,             0.84738,             0.81007,             0.81515,               0.995,               0.995,               0.995,             0.97793,              0.9948,               0.995,               0.995,             0.99493,             0.96655,               0.995,             0.99139,               0.995,               0.995,               0.995,               0.995,             0.99212,               0.995,               0.995,               0.995,             0.95548,              0.9679,             0.99487,               0.995,             0.99492,             0.98613,             0.99429,               0.995,               0.995,             0.99495,               0.995,               0.995,             0.99075,             0.99409,               0.995
                  72,            0.020262,            0.018346,           0.0082174,              0.9936,             0.98732,             0.99235,             0.82525,            0.017878,            0.031125,           0.0036327,            0.002971,            0.002971,            0.002971,             0.83137,             0.82754,             0.83608,             0.82223,             0.82487,             0.79985,             0.88047,             0.84006,             0.79503,             0.82147,               0.836,             0.82351,             0.80285,             0.82841,             0.82593,             0.82575,              0.8374,              0.8171,             0.80575,             0.80538,             0.82442,             0.83861,             0.82799,             0.85964,             0.85051,             0.77369,             0.76764,             0.84083,             0.83888,              0.8242,             0.83699,             0.85001,             0.81608,             0.82185,               0.995,               0.995,               0.995,               0.985,             0.99495,               0.995,               0.995,             0.99496,             0.96891,               0.995,             0.99363,               0.995,               0.995,               0.995,               0.995,             0.99498,               0.995,               0.995,               0.995,             0.96842,             0.97923,             0.99486,               0.995,             0.98948,             0.99325,             0.99437,               0.995,               0.995,               0.995,               0.995,               0.995,             0.99333,             0.99465,               0.995
                  73,            0.020409,            0.018547,           0.0083306,             0.99371,             0.98814,             0.99231,              0.8253,            0.017793,            0.031381,           0.0034455,            0.002872,            0.002872,            0.002872,             0.82689,             0.82958,             0.83396,             0.82615,             0.81518,             0.80031,             0.88414,             0.85238,             0.81291,             0.81832,             0.84258,             0.82159,             0.79976,             0.82737,             0.83148,             0.81986,             0.84264,             0.81477,             0.81045,             0.80303,             0.81645,             0.83916,             0.82456,              0.8687,             0.83801,             0.76979,             0.76185,             0.84186,             0.84099,             0.83247,              0.8237,               0.854,             0.81552,             0.81979,               0.995,               0.995,               0.995,             0.98549,              0.9949,               0.995,               0.995,             0.99487,             0.97662,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,             0.96341,             0.96949,               0.995,               0.995,             0.99306,             0.99317,             0.99435,               0.995,               0.995,               0.995,               0.995,               0.995,             0.99328,             0.99487,               0.995
